times,amount of hands
492.65874004118945,1
492.65874006088137,1
492.65874007252563,1
492.65874008812614,1
492.6587401010133,1
492.6587401133495,1
492.6587401247664,1
492.6587401408525,1
492.6587401566332,1
492.6587401692539,1
492.658740182659,1
492.6587401952408,1
492.6587402083998,1
492.6587402209942,1
492.6587402347239,1
492.6587402488433,1
492.6587402624179,1
492.65874027571533,1
492.6587402873519,1
492.6587403001425,1
